Date,XLU,XLB,XLI,XLE,XLY,XLP,XLV,XLK,XLF,Cash,Total
2001-Sep-25,18603.1,10159.9,69.84,8911.35,7215.48,7352.65,8227.68,-5219.85,11751.8,19463.9,86535.8
2001-Sep-26,18157.9,10077.7,68.61,8848.62,7238.16,7478.52,8304.54,-5043.63,11867.3,19463.9,86461.6
2001-Sep-27,17932.2,10187.3,69.36,9199.17,7257.6,7625.88,8432.64,-5003.58,12063.1,19463.9,87227.5
2001-Sep-28,18346,10521.6,71.01,9527.58,7442.28,7693.42,8601,-5139.75,12389.4,19463.9,88916.4
2001-Oct-01,5990.53,10978.2,-328.44,9751.18,7940.7,20342.3,9200.94,-6460,12255.8,19136.2,88807.4
2001-Oct-02,6055.49,11023.8,-334.88,9965.66,8162.14,20487.3,9320.64,-6453.2,12425.1,19136.2,89788.2
2001-Oct-03,6120.45,11160.6,-343,10103.5,8449.32,20318.2,9667.77,-6885,12624.3,19136.2,90352.4
2001-Oct-04,6059.55,10966.8,-343.42,10341,8269.4,20245.8,9639.84,-7031.2,12524.7,19136.2,89808.6
2001-Oct-05,6071.73,11160.6,-343.14,10417.6,8338.6,20463.1,9536.1,-7027.8,12181.1,19136.2,89934.1
2001-Oct-08,6128.57,10926.9,-339.08,10436.8,8169.06,20422.9,9464.28,-7075.4,11907.2,19136.2,89177.3
2001-Oct-09,6098.12,11029.5,-337.82,10455.9,8175.98,20318.2,9376.5,-6912.2,12006.8,19136.2,89347.2
2001-Oct-10,6110.3,11331.6,-343.98,10919.3,8515.06,20567.7,9579.99,-7126.4,12196,19136.2,90885.9
2001-Oct-11,6020.98,11702.1,-354.2,10915.5,8788.4,20422.9,9807.42,-7469.8,12390.2,19136.2,91359.7
2001-Oct-12,5980.38,11514,-350.84,10842.7,8598.1,20406.8,9719.64,-7452.8,12196,19136.2,90590.2
2001-Oct-15,5970.23,11519.7,-353.22,10643.6,8573.88,20495.3,9755.55,-7401.8,12250.8,19136.2,90590.2
2001-Oct-16,6014.89,11616.6,-352.38,10770,8660.38,20382.6,9851.31,-7480,12450,19136.2,91049.6
2001-Oct-17,6008.8,11394.3,-344.12,10716.3,8442.4,20213.6,9556.05,-7140,12325.5,19136.2,90309
2001-Oct-18,5893.09,11377.2,-342.72,10283.6,8442.4,20366.5,9404.43,-7123,12310.6,19136.2,89748.2
2001-Oct-19,5994.59,11234.7,-340.76,10321.9,8324.76,20608,9372.51,-7218.2,12111.4,19136.2,89545
2001-Oct-22,5880.91,11496.9,-347.9,10448.2,8511.6,20809.2,9635.85,-7388.2,12405.2,19136.2,90588
2001-Oct-23,5730.69,11645.1,-346.08,10409.9,8528.9,20543.6,9695.7,-7395,12435.1,19136.2,90384.1
2001-Oct-24,5679.94,11610.9,-347.76,10264.4,8494.3,20503.3,9540.09,-7486.8,12390.2,19136.2,89784.9
2001-Oct-25,5718.51,11588.1,-353.22,10524.8,8573.88,20696.5,9595.95,-7667,12554.6,19136.2,90368.4
2001-Oct-26,5736.78,11787.6,-359.8,10727.8,8663.84,20624.1,9679.74,-7677.2,12699,19136.2,91018.1
2001-Oct-29,5726.63,11502.6,-346.5,10628.2,8362.82,20495.3,9432.36,-7310,12250.8,19136.2,89878.5
2001-Oct-30,5641.37,11417.1,-338.94,10272.1,8203.66,20278,9300.69,-7160.4,12225.9,19136.2,88975.6
2001-Oct-31,5627.16,11240.4,-337.26,10287.4,8366.28,20044.5,9424.38,-7259,12116.3,19136.2,88646.4
2001-Nov-01,6121.05,11425,1327.86,10253.5,17955.3,7542.08,9699.75,-4815.62,12760.7,17659,89928.6
2001-Nov-02,6145.14,11600.8,1348.38,9975.28,18225,7530.24,9752.4,-4822.16,12827.8,17659,90241.8
2001-Nov-05,6204.27,11646.2,1368.36,9915.12,18655.1,7545.04,9902.25,-4970.4,13106.4,17659,91031.3
2001-Nov-06,6230.55,11890,1387.8,9854.96,18881.1,7559.84,10023.8,-5144.8,13266.4,17659,91608.5
